train,val
1-Sample-1-time-100.00_tile_0_0.pgm,1-Sample-3-time-100.00_tile_0_0.pgm
1-Sample-1-time-100.00_tile_0_1.pgm,1-Sample-3-time-100.00_tile_0_1.pgm
1-Sample-1-time-100.00_tile_0_2.pgm,1-Sample-3-time-100.00_tile_0_2.pgm
1-Sample-1-time-100.00_tile_0_3.pgm,1-Sample-3-time-100.00_tile_0_3.pgm
1-Sample-1-time-100.00_tile_0_4.pgm,1-Sample-3-time-100.00_tile_0_4.pgm
1-Sample-1-time-100.00_tile_0_5.pgm,1-Sample-3-time-100.00_tile_0_5.pgm
1-Sample-1-time-100.00_tile_0_6.pgm,1-Sample-3-time-100.00_tile_0_6.pgm
1-Sample-1-time-100.00_tile_1_0.pgm,1-Sample-3-time-100.00_tile_1_0.pgm
1-Sample-1-time-100.00_tile_1_1.pgm,1-Sample-3-time-100.00_tile_1_1.pgm
1-Sample-1-time-100.00_tile_1_2.pgm,1-Sample-3-time-100.00_tile_1_2.pgm
1-Sample-1-time-100.00_tile_1_3.pgm,1-Sample-3-time-100.00_tile_1_3.pgm
1-Sample-1-time-100.00_tile_1_4.pgm,1-Sample-3-time-100.00_tile_1_4.pgm
1-Sample-1-time-100.00_tile_1_5.pgm,1-Sample-3-time-100.00_tile_1_5.pgm
1-Sample-1-time-100.00_tile_1_6.pgm,1-Sample-3-time-100.00_tile_1_6.pgm
1-Sample-1-time-100.00_tile_2_0.pgm,1-Sample-3-time-100.00_tile_2_0.pgm
1-Sample-1-time-100.00_tile_2_1.pgm,1-Sample-3-time-100.00_tile_2_1.pgm
1-Sample-1-time-100.00_tile_2_2.pgm,1-Sample-3-time-100.00_tile_2_2.pgm
1-Sample-1-time-100.00_tile_2_3.pgm,1-Sample-3-time-100.00_tile_2_3.pgm
1-Sample-1-time-100.00_tile_2_4.pgm,1-Sample-3-time-100.00_tile_2_4.pgm
1-Sample-1-time-100.00_tile_2_5.pgm,1-Sample-3-time-100.00_tile_2_5.pgm
1-Sample-1-time-100.00_tile_2_6.pgm,1-Sample-3-time-100.00_tile_2_6.pgm
1-Sample-1-time-100.00_tile_3_0.pgm,1-Sample-3-time-100.00_tile_3_0.pgm
1-Sample-1-time-100.00_tile_3_1.pgm,1-Sample-3-time-100.00_tile_3_1.pgm
1-Sample-1-time-100.00_tile_3_2.pgm,1-Sample-3-time-100.00_tile_3_2.pgm
1-Sample-1-time-100.00_tile_3_3.pgm,1-Sample-3-time-100.00_tile_3_3.pgm
1-Sample-1-time-100.00_tile_3_4.pgm,1-Sample-3-time-100.00_tile_3_4.pgm
1-Sample-1-time-100.00_tile_3_5.pgm,1-Sample-3-time-100.00_tile_3_5.pgm
1-Sample-1-time-100.00_tile_3_6.pgm,1-Sample-3-time-100.00_tile_3_6.pgm
1-Sample-1-time-100.00_tile_4_0.pgm,1-Sample-3-time-100.00_tile_4_0.pgm
1-Sample-1-time-100.00_tile_4_1.pgm,1-Sample-3-time-100.00_tile_4_1.pgm
1-Sample-1-time-100.00_tile_4_2.pgm,1-Sample-3-time-100.00_tile_4_2.pgm
1-Sample-1-time-100.00_tile_4_3.pgm,1-Sample-3-time-100.00_tile_4_3.pgm
1-Sample-1-time-100.00_tile_4_4.pgm,1-Sample-3-time-100.00_tile_4_4.pgm
1-Sample-1-time-100.00_tile_4_5.pgm,1-Sample-3-time-100.00_tile_4_5.pgm
1-Sample-1-time-100.00_tile_4_6.pgm,1-Sample-3-time-100.00_tile_4_6.pgm
1-Sample-1-time-100.00_tile_5_0.pgm,1-Sample-3-time-100.00_tile_5_0.pgm
1-Sample-1-time-100.00_tile_5_1.pgm,1-Sample-3-time-100.00_tile_5_1.pgm
1-Sample-1-time-100.00_tile_5_2.pgm,1-Sample-3-time-100.00_tile_5_2.pgm
1-Sample-1-time-100.00_tile_5_3.pgm,1-Sample-3-time-100.00_tile_5_3.pgm
1-Sample-1-time-100.00_tile_5_4.pgm,1-Sample-3-time-100.00_tile_5_4.pgm
1-Sample-1-time-100.00_tile_5_5.pgm,1-Sample-3-time-100.00_tile_5_5.pgm
1-Sample-1-time-100.00_tile_5_6.pgm,1-Sample-3-time-100.00_tile_5_6.pgm
1-Sample-1-time-100.00_tile_6_0.pgm,1-Sample-3-time-100.00_tile_6_0.pgm
1-Sample-1-time-100.00_tile_6_1.pgm,1-Sample-3-time-100.00_tile_6_1.pgm
1-Sample-1-time-100.00_tile_6_2.pgm,1-Sample-3-time-100.00_tile_6_2.pgm
1-Sample-1-time-100.00_tile_6_3.pgm,1-Sample-3-time-100.00_tile_6_3.pgm
1-Sample-1-time-100.00_tile_6_4.pgm,1-Sample-3-time-100.00_tile_6_4.pgm
