epoch,dice_loss:,bce_loss:,acc:,lr:
0,0.8276,0.2206,0.3183,0.02
1,0.393,0.1383,0.6565,0.01999877
2,0.3182,0.1288,0.7076,0.01999507
3,0.2549,0.0905,0.754,0.0199889
4,0.234,0.0833,0.7704,0.01998027
5,0.2212,0.0752,0.7805,0.01996917
6,0.2046,0.0675,0.7944,0.01995562
7,0.1986,0.0643,0.7995,0.01993961
8,0.1945,0.0631,0.8027,0.01992115
9,0.1895,0.0612,0.8078,0.01990024
10,0.1872,0.0598,0.8094,0.01987688
11,0.1813,0.0574,0.8146,0.01985109
12,0.1779,0.0561,0.8175,0.01982287
13,0.1773,0.0562,0.8185,0.01979223
14,0.1734,0.0546,0.8217,0.01975917
15,0.1826,0.0604,0.8145,0.0197237
16,0.1809,0.0588,0.8157,0.01968583
17,0.1765,0.0571,0.8197,0.01964557
18,0.1696,0.0528,0.8255,0.01960294
19,0.1668,0.0518,0.8278,0.01955793
20,0.1662,0.0512,0.8282,0.01951057
21,0.1636,0.0504,0.8307,0.01946085
22,0.1626,0.05,0.8316,0.01940881
23,0.1627,0.0497,0.8312,0.01935444
24,0.1625,0.0497,0.8314,0.01929776
25,0.161,0.0492,0.8329,0.0192388
26,0.1597,0.0484,0.8341,0.01917755
27,0.1585,0.0483,0.8352,0.01911403
28,0.1599,0.0486,0.8339,0.01904827
29,0.1591,0.0481,0.8345,0.01898028
30,0.1576,0.0479,0.8361,0.01891007
31,0.1577,0.0479,0.8358,0.01883766
32,0.1567,0.0471,0.8368,0.01876307
33,0.1571,0.0474,0.8361,0.01868632
34,0.1559,0.0466,0.8373,0.01860742
35,0.1562,0.0468,0.8369,0.0185264
36,0.155,0.0467,0.8382,0.01844328
37,0.1545,0.0464,0.8387,0.01835807
38,0.1558,0.0464,0.8373,0.01827081
39,0.1549,0.0471,0.8386,0.0181815
40,0.1526,0.0457,0.8406,0.01809017
41,0.1536,0.046,0.8394,0.01799685
42,0.1534,0.0459,0.8397,0.01790155
43,0.1528,0.0454,0.8402,0.0178043
44,0.1522,0.0453,0.8406,0.01770513
45,0.1515,0.0452,0.8414,0.01760406
46,0.1515,0.0451,0.8415,0.01750111
47,0.1513,0.0447,0.8416,0.01739631
48,0.1512,0.045,0.8417,0.01728969
49,0.1505,0.0447,0.8424,0.01718126
50,0.1511,0.0448,0.8419,0.01707107
51,0.15,0.0445,0.8427,0.01695913
52,0.149,0.0442,0.8439,0.01684547
53,0.1494,0.0441,0.8434,0.01673013
54,0.1493,0.0442,0.8432,0.01661312
55,0.1492,0.0441,0.8436,0.01649448
56,0.1492,0.044,0.8435,0.01637424
57,0.1481,0.0437,0.8448,0.01625243
58,0.1485,0.0441,0.8443,0.01612907
59,0.1487,0.0438,0.8439,0.0160042
60,0.1476,0.0436,0.8453,0.01587785
61,0.1474,0.0433,0.8451,0.01575005
62,0.1471,0.0436,0.8455,0.01562083
63,0.1469,0.0432,0.8458,0.01549023
64,0.1472,0.0433,0.8453,0.01535827
65,0.1457,0.043,0.847,0.01522499
66,0.1472,0.0431,0.8452,0.01509041
67,0.1462,0.0429,0.8463,0.01495459
68,0.146,0.043,0.8465,0.01481754
69,0.1452,0.0428,0.8475,0.0146793
70,0.146,0.0428,0.8466,0.0145399
71,0.1452,0.0427,0.8475,0.01439939
72,0.1458,0.0428,0.8468,0.01425779
73,0.1455,0.0425,0.8469,0.01411514
74,0.1463,0.0431,0.8465,0.01397148
75,0.1449,0.0425,0.8475,0.01382683
76,0.1447,0.0423,0.8479,0.01368125
77,0.1455,0.0426,0.8472,0.01353475
78,0.1451,0.0424,0.8472,0.01338738
79,0.1431,0.0417,0.8494,0.01323917
80,0.1448,0.0424,0.8477,0.01309017
81,0.1441,0.0421,0.8485,0.0129404
82,0.1436,0.0421,0.8489,0.01278991
83,0.1431,0.0419,0.8494,0.01263873
84,0.1437,0.0418,0.8485,0.0124869
85,0.1428,0.0417,0.8496,0.01233445
86,0.144,0.0419,0.8484,0.01218143
87,0.1428,0.0416,0.8496,0.01202787
88,0.1424,0.0416,0.8499,0.01187381
89,0.1428,0.0415,0.8495,0.01171929
90,0.1421,0.0414,0.8501,0.01156434
91,0.1422,0.0413,0.8503,0.01140901
92,0.1423,0.0412,0.8499,0.01125333
93,0.1421,0.0414,0.8503,0.01109734
94,0.1406,0.041,0.8518,0.01094108
95,0.142,0.0412,0.8502,0.01078459
96,0.1407,0.0409,0.8517,0.01062791
97,0.1419,0.0411,0.8503,0.01047106
98,0.1409,0.041,0.8513,0.01031411
99,0.1404,0.0407,0.8519,0.01015707
100,0.141,0.0408,0.8511,0.01
101,0.1396,0.0405,0.8527,0.00984293
102,0.1403,0.0409,0.852,0.00968589
103,0.1401,0.0406,0.8521,0.00952894
104,0.14,0.0406,0.8523,0.00937209
105,0.1396,0.0403,0.8526,0.00921541
106,0.1394,0.0406,0.853,0.00905892
107,0.1393,0.0403,0.8529,0.00890266
108,0.1397,0.0403,0.8524,0.00874667
109,0.1385,0.0401,0.854,0.00859099
110,0.1392,0.0402,0.8531,0.00843566
111,0.1378,0.04,0.8547,0.00828071
112,0.139,0.0401,0.8531,0.00812619
113,0.1388,0.0401,0.8533,0.00797213
114,0.1386,0.04,0.8536,0.00781857
115,0.1392,0.0399,0.8529,0.00766555
116,0.1374,0.0397,0.8547,0.0075131
117,0.1379,0.0398,0.8544,0.00736127
118,0.1375,0.0397,0.8546,0.00721009
119,0.1362,0.0394,0.8559,0.0070596
120,0.1369,0.0395,0.8552,0.00690983
121,0.1378,0.0397,0.8544,0.00676083
122,0.1361,0.0394,0.8561,0.00661262
123,0.1373,0.0395,0.8547,0.00646525
124,0.1376,0.0397,0.8545,0.00631875
125,0.1353,0.0392,0.8571,0.00617317
126,0.136,0.0394,0.8564,0.00602852
127,0.1353,0.0389,0.8568,0.00588486
128,0.1351,0.0391,0.857,0.00574221
129,0.1356,0.039,0.8566,0.00560061
130,0.1341,0.0386,0.858,0.0054601
131,0.1352,0.039,0.857,0.0053207
132,0.135,0.0391,0.8573,0.00518246
133,0.1344,0.0387,0.8577,0.00504541
134,0.1343,0.0387,0.8578,0.00490959
