epoch,dice_loss:,bce_loss:,acc:,lr:
0,0.3066,0.1032,0.7205,0.02
1,0.1728,0.0536,0.8219,0.01999877
2,0.1612,0.0489,0.8324,0.01999507
3,0.1559,0.0467,0.8373,0.0199889
4,0.1525,0.0454,0.8404,0.01998027
5,0.1499,0.0445,0.8428,0.01996917
6,0.1499,0.0449,0.8431,0.01995562
7,0.1475,0.0437,0.8453,0.01993961
8,0.146,0.0431,0.8467,0.01992115
9,0.1452,0.0428,0.8474,0.01990024
10,0.1443,0.0425,0.8482,0.01987688
11,0.1436,0.0423,0.8489,0.01985109
12,0.143,0.0421,0.8495,0.01982287
13,0.1698,0.0618,0.828,0.01979223
14,0.1491,0.0449,0.8442,0.01975917
15,0.1451,0.0431,0.8477,0.0197237
16,0.1439,0.0426,0.8487,0.01968583
17,0.1429,0.0422,0.8496,0.01964557
18,0.1421,0.0419,0.8504,0.01960294
19,0.1414,0.0416,0.851,0.01955793
,,,,
0,0.1759,0.075,0.8153,
1,0.174,0.0455,0.8275,
2,0.1613,0.0452,0.8359,
3,0.1539,0.0538,0.8371,
4,0.1506,0.0486,0.842,
5,0.1536,0.0444,0.8424,
6,0.1489,0.0455,0.8451,
7,0.1494,0.0438,0.8461,
8,0.1479,0.044,0.8463,
9,0.1459,0.0448,0.8473,
10,0.1415,0.0494,0.8497,
11,0.1439,0.0471,0.8487,
12,0.1476,0.043,0.8471,
13,0.1534,0.0471,0.8418,
14,0.1448,0.0491,0.8477,
15,0.1454,0.0454,0.8476,
16,0.1404,0.049,0.8506,
17,0.1397,0.0485,0.8517,
18,0.1397,0.0484,0.8516,
19,0.1403,0.0464,0.8516,
